"","Date","region","total confirmed cases","new cases","interventions"
"479",2020-03-18,"WA",35,2,NA
"480",2020-03-18,"VIC",121,27,NA
"481",2020-03-18,"SA",37,5,NA
"482",2020-03-18,"ACT",3,1,NA
"483",2020-03-18,"NT",8,0,NA
"484",2020-03-18,"QLD",94,14,NA
"485",2020-03-18,"TAS",10,3,NA
"486",2020-03-18,"AUS",575,113,"Human biosecurity emergency is declared; cruise ships banned from entering ports"
"487",2020-03-19,"NSW",307,40,NA
"488",2020-03-19,"WA",52,17,NA
"489",2020-03-19,"VIC",150,29,NA
"490",2020-03-19,"SA",42,5,NA
"491",2020-03-19,"ACT",3,0,NA
"492",2020-03-19,"NT",8,0,NA
"493",2020-03-19,"QLD",144,50,NA
"494",2020-03-19,"TAS",10,0,"All ""non-essential"" travellers and returning residents are subject to a mandatory 14-day quarantine."
"495",2020-03-19,"AUS",716,141,NA
"496",2020-03-20,"NSW",353,46,NA
"497",2020-03-20,"WA",64,12,NA
"498",2020-03-20,"VIC",178,28,NA
"499",2020-03-20,"SA",50,8,NA
"500",2020-03-20,"ACT",6,3,NA
"501",2020-03-20,"NT",8,0,NA
"502",2020-03-20,"QLD",184,40,NA
"503",2020-03-20,"TAS",10,0,NA
"504",2020-03-20,"AUS",853,137,"States & territories told to implement social distancing laws of 4sqm/person; borders closed to all non-residents and non-Australian citizens"
"505",2020-03-21,"NSW",436,83,NA
"506",2020-03-21,"WA",90,26,NA
"507",2020-03-21,"VIC",229,51,NA
"508",2020-03-21,"SA",50,0,NA
"509",2020-03-21,"ACT",9,3,NA
"510",2020-03-21,"NT",8,0,NA
"511",2020-03-21,"QLD",221,37,NA
"512",2020-03-21,"TAS",16,6,NA
"513",2020-03-21,"AUS",1059,206,NA
"514",2020-03-22,"NSW",533,97,NA
"515",2020-03-22,"WA",120,30,NA
"516",2020-03-22,"VIC",296,67,NA
"517",2020-03-22,"SA",50,0,"Major emergency is declared, giving police power to enfore self-isolation rules."
"518",2020-03-22,"ACT",9,0,NA
"519",2020-03-22,"NT",8,0,NA
"520",2020-03-22,"QLD",259,38,NA
"521",2020-03-22,"TAS",22,6,NA
"522",2020-03-22,"AUS",1297,238,NA
"523",2020-03-23,"NSW",669,136,NA
"524",2020-03-23,"WA",140,20,NA
"525",2020-03-23,"VIC",355,59,NA
"526",2020-03-23,"SA",134,84,NA
"527",2020-03-23,"ACT",13,4,NA
"528",2020-03-23,"NT",8,0,NA
"529",2020-03-23,"QLD",319,60,NA
"530",2020-03-23,"TAS",28,6,NA
"531",2020-03-23,"AUS",1666,369,"Social gathering spots ordered to close. Restaurants and cafes limited to takeaway service"
"532",2020-03-24,"NSW",818,149,NA
"533",2020-03-24,"WA",175,35,"State borders are closed and all interstate arrivals are required to self-isolate for 14 days."
"534",2020-03-24,"VIC",411,56,"School holidays brought forward from 27 to 24 March."
"535",2020-03-24,"SA",170,36,"State borders are closed. People arriving in the state are required to sign a declaration that they will self-isolate and provide an address to police."
"536",2020-03-24,"ACT",39,26,NA
"537",2020-03-24,"NT",8,0,NA
"538",2020-03-24,"QLD",397,78,NA
"539",2020-03-24,"TAS",36,8,NA
"540",2020-03-24,"AUS",2054,388,NA
"541",2020-03-25,"NSW",1029,211,NA
"542",2020-03-25,"WA",205,30,NA
"543",2020-03-25,"VIC",466,55,NA
"544",2020-03-25,"SA",197,27,NA
"545",2020-03-25,"ACT",44,5,NA
"546",2020-03-25,"NT",8,0,NA
"547",2020-03-25,"QLD",443,46,NA
"548",2020-03-25,"TAS",42,6,NA
"549",2020-03-25,"AUS",2434,380,"Citizens and permanent residents are forbidden from leaving Australia"
"550",2020-03-26,"NSW",1219,190,NA
"551",2020-03-26,"WA",231,36,NA
"552",2020-03-26,"VIC",520,54,NA
"553",2020-03-26,"SA",235,38,NA
"554",2020-03-26,"ACT",44,0,NA
"555",2020-03-26,"NT",12,4,NA
"556",2020-03-26,"QLD",493,50,"Stage 1 restricted entry into Queenland for Queensland residents and those considered ""exempt""."
"557",2020-03-26,"TAS",47,5,NA
"558",2020-03-26,"AUS",2801,367,NA
"559",2020-03-27,"NSW",1405,186,NA
"560",2020-03-27,"WA",255,24,NA
"561",2020-03-27,"VIC",574,54,NA
"562",2020-03-27,"SA",257,22,"A direction is made prohibitng gatherings of 10+ people, and limiting 1 person per 4sqm."
"563",2020-03-27,"ACT",44,0,NA
"564",2020-03-27,"NT",12,0,NA
"565",2020-03-27,"QLD",555,62,NA
"566",2020-03-27,"TAS",58,11,NA
"567",2020-03-27,"AUS",3160,359,NA
"568",2020-03-28,"NSW",1617,212,NA
"569",2020-03-28,"WA",278,23,NA
"570",2020-03-28,"VIC",685,111,NA
"571",2020-03-28,"SA",287,30,NA
"572",2020-03-28,"ACT",71,27,NA
"573",2020-03-28,"NT",12,0,NA
"574",2020-03-28,"QLD",625,70,NA
"575",2020-03-28,"TAS",62,4,NA
"576",2020-03-28,"AUS",3637,477,NA
"577",2020-03-29,"NSW",1791,174,NA
"578",2020-03-29,"WA",311,33,NA
"579",2020-03-29,"VIC",769,84,NA
"580",2020-03-29,"SA",299,12,NA
"581",2020-03-29,"ACT",71,0,NA
"582",2020-03-29,"NT",12,0,NA
"583",2020-03-29,"QLD",656,31,NA
"584",2020-03-29,"TAS",66,4,NA
